NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Richard, Monseignor Marcel-François","Richard, Monseignor Marcel-François",1 Côte nord Street,granite monument in Forgerons Park,Saint-Louis-de-Kent,New Brunswick,"Gave to the Acadian people three symbols of identity: a patron day, a flag and an anthem","A donné au peuple acadien trois symboles auxquels ce dernier s'identifie aujourdhui : une fête patronale, un drapeau et un hymne",46.741863,-64.980886
"Richards, Sir William Buell","Richards, sir William Buell",Court House Square,on outside wall of Leeds and Grenville County Court House NHSC,Brockville,Ontario,First Chief Justice of the Supreme Court of Canada (1875-79),Premier juge en chef de la Cour suprème du Canada (1875-1879),44.590783,-75.68575
"Richardson, Harriette Taber","Richardson, Harriette Taber",Port Royal National Historic Site,on a cairn Port Royal NHSC,Lower Granville,Nova Scotia,Chief proponent of the reconstruction of the Port Royal Habitation,Principal partisan de la reconstruction de l'habitation de Port-Royal,44.711255,-65.609289
"Richardson, Major John","Richardson, major John",<Null>,<Null>,Amherstburg,Ontario,"Soldier in War of 1812, captured at Battle of the Thames; poet and novelist, founded the New Era journal","Soldat (guerre de 1812), poète et romancier, fondateur de la revue «New Era»",42.107983,-83.113467
"Riel, Louis","Riel, Louis",330 River Road,Riel House NHSC,Winnipeg,Manitoba,"Leader of the Métis, ""Father of Manitoba"", led the Northwest Rebellion 1885","Chef métis, «père du Manitoba», chef de la Rébellion du Nord-Ouest (1885)",49.819068,-97.136056
"Ritchie, John William","Ritchie, John William",Belmont-on-the-Arm,<Null>,*    Halifax,Nova Scotia,"Father of Confederation, Nova Scotia Supreme Court Justice (1870-82)","Père de la Confédération, juge de la Cour suprème de la Nouvelle-Écosse (1870-1882)",44.62997,-63.58893
"Ritchot, Father Noël-Joseph","Ritchot, père Noël-Joseph",450 Broadway,River Walk Park behind Manitoba Legislative Building,Winnipeg,Manitoba,First Roman Catholic parish priest at Qu'appelle (1862) and at St. Norbert (1870-1905),Premier prêtre catholique romain de Qu'appelle (1862) et de St. Norbert (1870-1905),49.8828,-97.146267
"Roberts, Sir Charles G. D.","Roberts, Sir Charles G. D.",<Null>,Poets' Corner - University of New Brunswick,Fredericton,New Brunswick,Father of English-Canadian Poetry,Père de la poésie canadienne-anglais,45.946503,-66.642743
"Roberts, Sir Charles G. D.","Roberts, Sir Charles G. D.",Old Frosty Hollow Road,granite monument several metres from St. Ann's Anglican Church,Westcock,New Brunswick,Father of English-Canadian Poetry,Père de la poésie canadienne-anglais,45.872377,-64.389633
"Robinson, Charles Walker","Robinson, Charles Walker",<Null>,<Null>,*    Toronto,Ontario,"Soldier and author, wrote ""Canada and Canadian Defence"" (1910)","Soldat et auteur, entre autres de «Canada and Canadian Defence» (1910)",43.653511,-79.383965
"Robinson, Sir John Beverley","Robinson, sir John Beverley",130 Queen Street West,"Osgoode Hall NHSC, on post in the Great Library",Toronto,Ontario,"Major political figure in Upper Canada, member of Family Compact","Homme politique important du Haut-Canada, membre du Family Compact",43.652155,-79.385652
"Robson, John","Robson, John",511 Royal,City Hall,New Westminster,British Columbia,"Founded first newspaper in mainland British Columbia (1861), Premier of British Columbia (1889-92)","Fondateur du premier journal de la partie continentale de la Colombie-Britannique (1861), premier ministre de la Colombie-Britannique (1889-1892)",49.206583,-122.910917
"Rose, Marie Marguerite","Rose, Marie Marguerite",<Null>,Former Tavern,*    Fortress of Louisbourg National Historic Site,Nova Scotia,Key figure in the initial phase of Black slavery in Canada and stood out among emancipated slaves in New France,"Une figure clé de la première période d'esclavage des Noirs au Canada, se détachant du lot des esclaves affranchis en Nouvelle-France",45.892841,-59.986811
"Rose, Sir John","Rose, sir John",<Null>,<Null>,*    Montréal,Quebec,"Prominent 19th-century politician, banker and diplomat","Homme politique important du XIXe siècle, banquier et diplomate",45.5,-73.6
"Rosenfeld, Fanny 'Bobbie'","Rosenfeld, Fanny «Bobbie»",190 Bayview Drive,Allandale Recreation Centre,Barrie,Ontario,Female Athlete of the half-century (1900-50),Athlète féminin du demi-siècle (1900-1950),44.361044,-79.683686
"Ross, Alexander","Ross, Alexander",140 Meade Street North,Front gates of the Ross House,Winnipeg,Manitoba,"Fur trader and author, Pacific Fur Company (1810-13), North West Company (1813-25)","Trafiquant de fourrures et auteur, Pacific Fur Company (1810-1813), Compagnie du Nord-Ouest (1813-1825)",49.9068,-97.129417
"Ross, James Hamilton","Ross, James Hamilton",<Null>,Wascana Park,Regina,Saskatchewan,"Member of the North-West Council and Assembly (1883-1901), Commissioner of Yukon","Membre du Conseil et de l'Assemblée du Nord-Ouest (1883-1901), commissaire du Yukon",50.438913,-104.614348
"Ross, Sir George William","Ross, sir George William",399 Ridout Street North,in Middlesex County Court House NHSC,London,Ontario,"Premier of Ontario (1899-1905), Liberal leader in Senate (1911-14)","Premier ministre de l'Ontario (1899-1905), chef des libéraux au Sénat (1911-1914)",42.982072,-81.254377
"Ross, Sir James Clark","Ross, sir James Clark",<Null>,<Null>,Taloyoak,Nunavut,"Arctic explorer, sailed with Parry (1819-25) , led 1848 Franklin search","Explorateur de l'Arctique, fit des voyages avec Parry (1819-1825), recherche de Franklin (1848)",69.536111,-93.520833
"Ross, Sir John","Ross, sir John",<Null>,<Null>,Taloyoak - Spence Bay,Nunavut,"Arctic explorer, led Northwest Passage trips (1818, 1829-33), Franklin search (1850)","Explorateur de l'Arctique, commanda des expéditions pour découvrir le passage du Nord-Ouest (1818, 1829-1833)",69.536111,-93.520833
"Rowand, John","Rowand, John",<Null>,South of the Legislative Building/Bowling Green,Edmonton,Alberta,"Chief factor of Hudson's Bay Company, Edmonton administrator (1803-54)","Agent principal de la Compagnie de la Baie d'Hudson, administrateur d'Edmonton (1803-1854)",53.531933,-113.506933
"Roy, Gabrielle","Roy, Gabrielle",375 Deschambault Street,<Null>,St. Boniface,Manitoba,"Her mastery of the art of story-telling, her profound humanity, and her limpid prose have assured her an enduring place in the literary landscape","Sa maîtrise de l'art du récit, sa profonde humanité et sa prose limpide ont fait d'elle une immortelle de la littérature",49.890135,-97.110994
"Roy, Gabrielle","Roy, Gabrielle",<Null>,Saint-Henri,Montréal,Quebec,"Her mastery of the art of story-telling, her profound humanity, and her limpid prose have assured her an enduring place in the literary landscape",<Null>,45.499865,-73.558957
"Rutherford, Ernest","Rutherford, Ernest",809 Sherbrooke St. West,"MacDonald Physics Building, McGill University",Montréal,Quebec,"Physicist, early discoveries in radioactivity and atomic particle theory","Physicien, pionnier de la recherche sur la radioactivité, théorie des particules atomiques",45.504889,-73.575386
"Ryerson, Reverend Adolphus Egerton","Ryerson, révérend Adolphus Egerton",109 Norfolk St. S.,County Museum - mounted on side wall of buildling,Simcoe,Ontario,"Methodist minister, established basis for school system in Ontario","Pasteur méthodiste, réorganisa le système d'éducation de l'Ontario",42.835044,-80.302656
"Sadlier, Mary Anne","Sadlier, Mary Anne",Notre-Dame and Saint-François-Xavier,D. & J. Sadlier Co.,*    Montréal,Quebec,"Important contribution to didactic and doctrinal religious literature as a writer of textbooks, catechisms and devotional works","Comme auteure de manuels, de catéchismes et de livres de piété, a apporté une importante contribution à la documentation pédagogique et religieuse",45.503854,-73.557442
"Saint-Jean, Idola","Saint-Jean, Idola",1182 Saint Laurent,Monument National NHSC,Montréal,Quebec,Leader in the fight for women's suffrage in Quebec and for reform of the Civil Code in the 1920s and 1930s,Chef de file du mouvement pour le suffrage des femmes au Québec et pour la réforme du Code civil dans les années 1920 et 1930,45.509077,-73.562434
"Sandwell, Bernard Keble","Sandwell, Bernard Keble",73 Richmond Street West (Sheppard),<Null>,Toronto,Ontario,"Journalist, essayist, lecturer, editor (1932-35) of ""Saturday Night""","Journaliste, essayiste, conférencier, rédacteur en chef du «Saturday Night»",43.6509,-79.382533
"Sapir, Edward","Sapir, Edward",240 Mcleod Street,Victoria Memorial Museum NHSC,Ottawa,Ontario,"Anthropologist, important studies of Canada's Aboriginal peoples","Anthropologue, des études importants sur des Autochtones",45.412717,-75.688673
"Saunders, Margaret Marshall","Saunders, Margaret Marshall",<Null>,<Null>,Milton,Nova Scotia,Popular author of children's books,Auteure populaire de livres pour enfants,44.06539,-64.751623
"Saunders, Sir Charles Edward","Saunders, sir Charles Edward",<Null>,in the entrance of City Hall,London,Ontario,Developed the famous Marquis wheat at the Central Experimental Farm,Créa la célèbre variété de blé «Marquis» a la direction des fermes expérimentales,42.988144,-81.246041
"Saunders, William","Saunders, William",<Null>,Campbell Memorial Park,London,Ontario,Director of the Experimental farms branch of Department of Agriculture (1886),Directeur du service des fermes expérimentales du ministère de l'Agriculture (1886),42.986317,-81.24085
"Savalette, Captain","Savalette, capitaine",<Null>,between Charlo Cove and Coke Harbour,Tor Bay,Nova Scotia,"Pioneer of ""sedentary"" fisheries of Acadia (1565-1610)",Pionnier de la pêche sédentaire en Acadie (1565-1607),45.2,-61.366667
"Schofield, Dr. Frank W.","Schofield, Dr. Frank W.",<Null>,Ontario Veterinary College,*    Toronto,Ontario,Outstanding veterinarian who was nationally and internationally known for his research in animal disease,"Un vétérinaire remarquable, connu partout au Canada et dans le monde pour ses recherches sur les maladies animales",43.65075,-79.380203
"Schurman, Jacob Gould","Schurman, Jacob Gould",<Null>,Railway Station,Freetown,Prince Edward Island,"Educator, philosopher, president of Cornell University (1892-1921)","Éducateur, philosophe, président de l'Université Cornell (1892-1921)",46.367588,-63.592905
"Scott, Duncan Campbell","Scott, Duncan Campbell",Middle Street at Portage Bridge,<Null>,Ottawa,Ontario,"Poet of the ""Sixties Group"", advocate of education, Christian ideal","Poète, membre du Sixties Group, partisan de l'éducation, idéal chrétien",45.420007,-75.689954
"Scott, Sir Richard William","Scott, sir Richard William",SW corner of Dibble Street West and Edward Street,<Null>,Prescott,Ontario,"Politician, sponsored the Ontario Separate School Act of 1863","Homme politique, présenta la loi ontarienne de 1863 sur les écoles séparées",44.711683,-75.514491
"Seagram, Joseph Emm","Seagram, Joseph Emm",<Null>,<Null>,Waterloo,Ontario,"Founded world famous distilling company in Waterloo in 1883, member of Parliament (1896-1908)","Fondateur de la très célèbre distillerie Seagram à Waterloo en 1883, député (1896-1908)",43.464,-80.525538
"Secord, Laura Ingersoll","Secord, Laura Ingersoll",<Null>,<Null>,Niagara-on-the-Lake,Ontario,Renowned hero of the War of 1812,Une célèbre héroïne de la guerre de 1812,43.164183,-79.055333
"Selye, Dr. Hans","Seyle, docteur Hans",<Null>,<Null>,*    Montréal,Quebec,"Medical researcher, ""Father of Stress Research""","Se consacra à la recherche médicale, «père de l'étude du stress»",45.508818,-73.554133
"Seton, Earnest Thompson","Seton, Earnest Thompson",116 Main Street,Seton Centre,Carberry,Manitoba,"Renowned writer, conservationist, wildlife artist and social reformer","Écrivain renommé, protecteur de l'environnement, peintre animalier et instigateur de réformiste",49.867967,-99.359
"Sewell, Jonathan","Sewell, Jonathan",87 Saint-Louis Street,Fence in front of Sewell House NHSC,Québec,Quebec,"Chief Justice of Lower Canada, early advocate of Confederation","Juge en chef au Bas-Canada, l'un des premiers partisans de la Confédération",46.809925,-71.210399
"Shadd, Mary Ann","Shadd, Mary Ann",177 King St. East,Chatham Wish Centre,Chatham,Ontario,Newspaper editor and leader of Black Refugee Movement,Rédactrice de journal et leader du Mouvement des esclaves fugitifs noirs,42.406183,-82.17505
Shanawdithit,Shanawdithit,155 Water Street,<Null>,St. John's,Newfoundland and Labrador,Last of the Beothuks,Dernière des Béothuks,47.565373,-52.705615
"Shea, Sir Ambrose","Shea, sir Ambrose",Prince Philip Drive and Higgins Line,Confederation Building,St. John's,Newfoundland and Labrador,"Father of Confederation, Speaker of the Newfoundland House (1885-87)","Père de la Confédération, président de la Chambre d'assemblée de Terre-Neuve (1885-1887)",47.58401,-52.723065
"Sherman, Francis Joseph","Sherman, Francis Joseph",<Null>,"Poets' Corner, Harriet Irving Library",Fredericton,New Brunswick,Work demonstrates a fine craftsmanship and mastery of the sonnet form,Son œuvre manifeste une rare connaissance et une maîtrise du sonnet,45.946057,-66.643063
"Sherman, Francis Joseph","Sherman, Francis",686 Queen Street,Playhouse Lawn,*    Fredericton,New Brunswick,Work demonstrates a fine craftsmanship and mastery of the sonnet form,Son œuvre manifeste une rare connaissance et une maîtrise du sonnet,45.960619,-66.637181
"Shortt, Adam, C.M.G.","Shortt, Adam, C. M. G.",399 Ridout Street North,in Middlesex County Court House NHSC,London,Ontario,"Historian, author, member of first Canadian Civil Service Commission (1908-18)","Historien, auteur et membre de la première Commission de la fonction publique du Canada (1908-1918)",42.982207,-81.254438
"Sifton, Sir Clifford","Sifton, sir Clifford",410 9th Street at Victoria,City Hall,Brandon,Manitoba,"Minister of the Interior (1896-1905), promoter of immigration to the West","Ministre de l'Intérieur (1896-1905), favorisa l'immigration vers l'Ouest",49.842917,-99.950217
"Simcoe, John Graves","Simcoe, John Graves",<Null>,<Null>,Niagara-on-the-Lake,Ontario,Commanded Queen's Rangers (1777-81); First Lieutenant-Governor of Upper Canada (1791-96),"Commandant des Queen's Rangers (1777-1781), premier lieutenant-gouverneur du Haut-Canada (1791-1796)",43.252367,-79.059567
"Simpson, Sir George","Simpson, sir George",Highway 93 - east side,on a large boulder,Kootenay National Park of Canada,British Columbia,"Governor-in-Chief of Rupert's Land, General Superintendent of the Hudson's Bay Company","Gouverneur en chef de Rupert's Land, gouverneur de la Compagnie de la Baie d'Hudson",50.972113,-115.947323
"Simpson, Thomas","Simpson, Thomas",2 Folwer St. (near Anderson),in extension of St. John's Park,Winnipeg,Manitoba,"Arctic explorer, charted the Western Arctic Coast (1837-39)","Explorateur de l'Arctique, dressa la carte de la côte occidentale de l'Arctique (1837-1839)",49.91985,-97.1255
"Skelton, Oscar Douglas","Skelton, Oscar Douglas",<Null>,"Lobby of Lester B. Pearson Building, 125 Sussex Drive",Ottawa,Ontario,"Historian, economist, developed the Department of External Affairs","Historien, économiste, développa le ministère des Affaires extérieures",45.436633,-75.696383
"Skinner, Frank Leith","Skinner, Frank Leith",East of Hightway 83,Frank Skinner Arboretum Trail,Dropmore,Manitoba,Contributed to advancing horticulture in western Canada,A contribué à l'avancement de l'horticulture dans l'Ouest du Canada,51.036811,-101.334064
"Small Thompson, Charlotte","Small Thompson, Charlotte",<Null>,<Null>,*    Jasper National Park of Canada,Alberta,Representative of the many Aboriginal women who formed significant partnerships with fur traders during the 18th and 19th centuries,Un exemple typique des nombreuses femmes d'origine autochtone qui ont formé d'importants tandems avec des commerçants de fourrures aux XVIIIe et XIXe siècles,52.804324,-118.16914
"Smallwood, Joseph 'Joey' Roberts","Smallwood, Joseph «Joey» Roberts",<Null>,<Null>,St. John's,Newfoundland and Labrador,Advocate of Confederation at Newfoundland's National Convention (1946-48); Father of Confederation,Défenseur de la Confédération à la Newfoundland's National Convention (1946-1948); père de la Confédération,47.583884,-52.723089
"Smellie, Elizabeth","Smellie, Elizabeth",236 Metcalfe Street,Chelsea Club,*    Ottawa,Ontario,"Enlisting as a Nursing Sister in 1914, she provided exemplary service and leadership throughout the First World War","S'étant enrôlée comme infirmière militaire en 1914, elle a donné un service exemplaire et montré un leadership incomparable tout au long de la Première Guerre mondiale",45.416836,-75.69232
"Smith, Goldwin","Smith, Goldwin",<Null>,The Grange NHSC,Toronto,Ontario,"Historian and writer, advocate of Commercial Union with the United States","Historien et auteur, partisan d'une union commerciale avec les États-Unis",43.652983,-79.392367
"Smith, Mary Ellen Spear","Smith, Mary Ellen Spear",<Null>,Grounds of the British Columbia Legislature,*    Victoria,British Columbia,An accomplished politician in the immediate post-suffrage era who represented newly enfranchised women and brought their concerns into the political forum,Femme politique accomplie au cours de la période qui a immédiatement suivi l'obtention du droit de vote pour les femmes; la voix des femmes nouvellement émancipées,48.420234,-123.371582
"Smith, Sir Albert James","Smith, sir Albert James",corner of Main St. & Woodlawn Rd.,polished stone monument in a park,Dorchester,New Brunswick,"Premier of New Brunswick (1865-66), Minister of Marine and Fisheries (1873-78)","Premier ministre du Nouveau-Brunswick (1865-1866), ministre de la Marine et des pêcheries (1873-1878)",45.899707,-64.516388
"Smith, Sir Donald A. (Lord Strathcona)","Smith, sir Donald A. (baron de Strathcona)",<Null>,<Null>,*    Montréal,Quebec,"Hudson's Bay Company official, politician, promoter of the Canada Pacific Railway (1885)","Administrateur de la Compagnie de la Baie d'Hudson, homme politique, l'un des fondateurs du Canadien Pacifique (1885)",45.5,-73.6
"Snively, Mary Agnes","Snively, Mary Agnes",College Street and University Avenue,Toronto General Hospital,*    Toronto,Ontario,Leading advocate for the professionalization of nursing in the late 19th and early 20th centuries,Fut la plus grande apôtre de la professionnalisation des soins infirmiers à la fin du xixe et au début du xxe siècle,43.658566,-79.389522
"Southcott, Mary Meager","Southcott, Mary Meager",<Null>,Southcott Hall,St. John's,Newfoundland and Labrador,"Leader in professionalization of nursing in Newfoundland, introducing the Nightingale system",Chef de fil qui a élévé les soins infirmiers à Terre-Neuve au rang de profession en adoptant la méthode Nightingale,47.576139,-52.695625
"St. Laurent, Hon. Louis S.","St-Laurent, l'honorable Louis S.",Principale Street South,St-Laurent store,Compton,Quebec,Prime Minister of Canada (1948-57),Premier ministre du Canada (1948-1957),45.241991,-71.826189
"Steele, Sir Samuel Benfield","Steele, sir Samuel Benfield",30 Peter Street South,Sir Sam Steele Building /Orillia Museum of Art and History,Orillia,Ontario,"Soldier, Superintendent of the North West Mounted Police (1885-1903)","Soldat, surintendant de la Police montée du Nord-Ouest (1885-1903)",44.608383,-79.417083
"Steeves, Hon. William Henry","Steeves, l'honorable William Henry",40 Mill Street,Steeves Museum,Hillsborough,New Brunswick,"Father of Confederation, industrialist, senator (1867-73)","Père de la Confédération, industriel, sénateur (1867-1873)",45.925376,-64.644256
"Stefánsson, Vilhjálmur","Stefánsson, Vilhjálmur","Hwy 222 , 200 m south of Arnes Rd.",<Null>,Arnes,Manitoba,"Arctic explorer, major expeditions in 1906-7, 1908-12, 1913-18","Explorateur de l'Arctique, expéditions importantes (1906-1907,1908-1912,1913-1918)",50.800308,-96.995982
"Stephansson, Stephan G.","Stephansson, Stephan G.",<Null>,on Community Grounds,Markerville,Alberta,Major Icelandic poet,Important poète de l'Islande,52.122844,-114.164554
"Stephen, Sir George","Stephen, sir George",<Null>,<Null>,Montréal,Quebec,"Banker, railway magnate (Canada Pacific Railway), philanthropist","Banquier, magnat du rail - Canadien Pacifique, philanthrope",45.499186,-73.575631
"Stowe, Dr. Emily","Stowe, docteur Emily",76 Grenville Street, inside Women's College Hospital NHSC,Toronto,Ontario,First female practising doctor in Canada; organizer of women's medical college and suffrage leader,Première femme à exercer la médecine au Canada; organisatrice du Women's Medical College et chef de file pour le vote des femmes,43.661234,-79.387786
"Strachan, Right Reverend John","Strachan, très révérend John",437 Sydney Street,on outside wall of Cornwall Collegiate and Vocational School,Cornwall,Ontario,"First Anglican Bishop of Toronto, founder of King's College, 1827","Premier évêque anglican de Toronto, fondateur du King's College (1827)",45.022967,-74.728467
"Studholme, Major Gilfred","Studholme, major Gilfred",<Null>,On the grounds of Fort Howe,Saint John,New Brunswick,Built Fort Howe in 1777 to defend against Americans,Construisit le fort Howe (1777) pour défendre le pays contre les Américains,45.27614,-66.072818
"Sulte, Benjamin","Sulte, Benjamin",1200-1344 Rue Hart,SW corner of Champlain Park,Trois-Rivières,Quebec,"Historian of French Canada, wrote ""Histoire des Canadiens français"" (1882-84)","Historien du Canada-français, auteur d'une «Histoire des Canadiens-français» (1882-84)",46.343148,-72.542265
"Taché, Alexandre-Antonin","Taché, Alexandre-Antonin",<Null>,<Null>,Rivière-du-Loup,Quebec,"Roman Catholic archbishop of St. Boniface, missionary, writer","Archevêque catholique romain de St. Boniface, missionnaire, auteur",47.836324,-69.536841
"Taché, Sir Étienne Paschal","Taché, sir Étienne Paschal",Taché Boulevard East,on the grounds of the Régionale Pascal Taché,Montmagny,Quebec,"Father of Confederation, head of Coalition Government (1864), served in the War of 1812 at both Châteauguay and Plattsburg","Père de la Confédération, chef du Gouvernement de coalition (1864)",46.98349,-70.55891
"Tahayren (Edenshaw, Charles)","Tahayren (Edenshaw, Charles)",<Null>,<Null>,Masset,British Columbia,Famous 19th-century Haïda carver; worked in argillite and silver,Célèbre sculpteur haïda du XIXe siècle; matériaux : roche compacte et argent,54.016667,-132.1
"Tahourenche, François-Xavier Picard","Tahourenche, François-Xavier Picard",186 Nicolas-Vincent Street,Tsawenhoni House,*    Wendake,Quebec,"Shaped the history of his nation by keeping archives and heritage objects that reflect the life, history and values of the Huron-Wendat people","A marqué l'histoire de sa nation en conservant des archives et des objets du patrimoine qui témoignent éloquemment de la vie, de l'histoire et des murs huronnes-wendat",46.856574,-71.355338
"Talon, Jean","Talon, Jean",Saint-Vallier St. E.,"Site of ""Premier Palais de l'Intendant""",Québec,Quebec,"Intendant of New France (1665-1668 and 1670-1672), re-organized its structure","Intendant de la Nouvelle-France (1665-1668 et 1670-1672), réorganisa la colonie",46.811489,-71.227434
"Tarte, J. Israël","Tarte, J. Israël",<Null>,<Null>,*    Lanoraie,Quebec,"Journalist and politician, Minister of Public Works for Canada (1896-1902)","Journaliste et homme politique, ministre fédéral des Travaux publics (1896-1902)",45.957289,-73.221004
Tecumseh,Tecumseh,Highway 2 / Longwoods Road,4 km east of Thamesville,Thamesville,Ontario,"Shawnee leader, organizer of Western tribes' alliance with the British in War of 1812; killed in Battle of the Thames","Chef shawnee, organisa l'alliance des tribus de l'Ouest et des Britanniques en 1812; guerre de 1812",42.565533,-81.93035
"Teit, James Alexander","Teit, James Alexander",<Null>,<Null>,Spences Bridge,British Columbia,Influential ethnographer of interior Salish tribes,"Ethnographe influent, spécialiste des tribus salish de l'intérieur",50.415339,-121.360117
"Tessouat and le Borgne, Kishesipirini headmen","Tessouat et Le Borgne, chefs de bande Kishesipirini",<Null>,<Null>,*    Île-aux-Allumettes,Quebec,Algonquin headmen of the Upper Ottawa (Kichesipirini) on Allumette Island; flourished 1600-1650,Chefs algonquins de la vallée supérieure de l'Outaouais sur l'île aux Allumettes,45.879266,-77.06053
Thanadelthur,Thanadelthur,<Null>,<Null>,*    Churchill,Manitoba,Aboriginal woman created a bridge between two cultures; played an important role in the English fur trade in the Canadian north in early 18th-century,Femme autochtone qui créa une liaison entre deux cultures; joua un rôle important dans la traite anglaise des fourrures dans le nord canadien au début du XVIIIe siècle,58.767926,-94.174049
Thayendanega (Joseph Brant),Thayendanega (Joseph Brant),<Null>,Six Nations Veterans Memorial Park,Six Nations Grand River Reserve,Ontario,"Mohawk leader, British ally, founded settlement in Brantford area","Chef agnier, allié des britanniques, fondateur d'un établissement dans la région de Brantford",43.06933,-80.11835
The Peacemakers,The Peacemakers,<Null>,West end of city park,Wetaskiwin,Alberta,Father Albert Lacombe and the Reverend John McDougall; flourished 1885,Le père Albert Lacombe et le révérend John Mcdougall,52.96978,-113.365272
"Theal, George McCall","Theal, George McCall",277 Douglas Avenue,New Brunswick Museum,Saint John,New Brunswick,"Educator and historian, Archivist of South Africa","Éducateur et historien, archiviste de l'Afrique du Sud",45.269115,-66.081857
"Thomas, Louis","Thomas, Louis",<Null>,<Null>,*    Cacouna,Quebec,Defender of Maliseet interests and rights,Le défenseur des intérêts et des droits des Malécites,47.918382,-69.507854
"Thomas, William","Thomas, William",<Null>,<Null>,Halifax,Nova Scotia,Leading architect in pre-confederation Canada,"Architecte important du Canada, avant la création de la Confédération",44.647212,-63.607802
"Thompson, David","Thompson, David",Highway 93,"Athabasca Pass, Roadside pullout 25 km south of Jasper",Jasper National Park of Canada,Alberta,Explorer and fur trader; made first accurate map of western Canada (1812),Explorateur et trafiquant de fourrures; dressa la première carte précise de l'Ouest du Canada (1812),52.71708,-117.874428
"Thompson, Sir John Sparrow David","Thompson, sir John Sparrow David",<Null>,in the North end Postal Station,Halifax,Nova Scotia,Prime Minister of Canada (1892-94),Premier ministre du Canada (1892-1894),44.647212,-63.607802
"Thompson, Stanley W.","Thompson, Stanley W.",<Null>,Ingonish Beach,*    Cape Breton Highlands National Park,Nova Scotia,Pioneer of golf course architecture in Canada and abroad; creating many challenging and world renowned golf courses,Pionnier de l'architecture de golf au Canada et à l'étranger; a créé de nombreux parcours de golf stimulants qui jouissent d'une renommée mondiale,46.64083,-60.403964
"Thomson, Charles Edward Poulett (Baron Sydenham)","Thomson, Charles Edward Poulett (baron de Sydenham)",76 Stuart Street,grounds of Kingston General Hospital NHSC,Kingston,Ontario,"Implemented the Union of the Canadas (1840), Governor General (1840-41)","Réalisa l'union des Canada (1840), gouverneur général (1840-1841)",44.2246,-76.492917
"Thomson, Edward William","Thomson, Edward William",<Null>,<Null>,*    Toronto,Ontario,"Author and journalist, chief editorial writer on the Toronto ""Globe"" (1879-91)","Auteur et journaliste, rédacteur en chef du «Globe» de Toronto (1879-1891)",43.653511,-79.383965
"Thomson, Tom","Thomson, Tom",Highway 60,<Null>,"Canoe Lake, Algonquin Provincial Park",Ontario,"Artist, influenced the formation of the Group of Seven","Artiste, joua un rôle dans la formation du Groupe des Sept",45.5352,-78.7075
"Tilley, Sir Samuel Leonard","Tilley, sir Samuel Leonard",<Null>,in Post Office,Gagetown,New Brunswick,"Father of confederation, federal cabinet minister (1867-73)","Père de la Confédération, ministre fédéral (1867-1873)",45.780132,-66.152794
"Tomison, William","Tomison, William",13 Km southeast of Elk Point on Highway 646,Fort George Buckingham House Provincial Historic Site,Elk Point,Alberta,"Hudson's Bay Company trader, ""Inland Master"" along the Saskatchewan River (1786-99)","Négociant des fourrures de la Compagnie de la Baie d'Hudson, capitaine de navires, rivière Saskatchewan (1786-1799)",53.879545,-110.728821
"Tory, Henry Marshall","Tory, Henry Marshall",<Null>,on the Academy Grounds,Guysborough,Nova Scotia,"Founder and President of Carleton College (1942-7), National Research Council president (1923-35)","Premier président d'Université d'Alberta (1908-1928), résident du Conseil national de recherche (1923-1935)",45.383333,-61.5
"Traill, Catharine Parr","Traill, Catharine Parr",<Null>,concrete stand near Lock #27,Young's Point,Ontario,"Writer, most famous work ""The Backwoods of Canada"" (1836)","Écrivain, son livre le plus connu est «The Backwoods of Canada» (1836)",44.488168,-78.233232
"Travers, Mary 'la Bolduc'","Travers, Mary dite la Bolduc","124, route 132",<Null>,Newport,Quebec,Tremendous impact on Quebec popular culture as singer-songwriter,"L'influence de cette chanteuse sur la culture populaire au Québec, tant comme chanteuse que comme auteure-compositrice",48.252426,-64.755549
"Trout, Dr. Jenny","Trout, docteur Jenny",<Null>,<Null>,Kingston,Ontario,First female licenced doctor in Canada; supporter of women's medical education,Première femme diplômée comme médecin au Canada; partisanne de l'enseignement médical pour les femmes,44.229983,-76.48065
"Trutch, Sir Joseph William","Trutch, sir Joseph William",<Null>,<Null>,*    Spuzzum,British Columbia,"Lieutenant-Governor of British Columbia (1871-76), noted civil engineer","Lieutenant-gouverneur de la Colombie-Britannique (1871-1876), célèbre ingénieur civil",49.674983,-121.419046
"Tsawenhohi, Ignace-Nicolas Vincent","Tsawenhohi, Ignace-Nicolas Vincent",186 Nicolas-Vincent Street,Tsawenhoni House,*    Wendake,Quebec,Elevated the position of Grand Chief to an unprecedented level of respectability,Personne d'autre avant lui n'avait paré la dignité de grand chef d'une telle respectabilité,46.856653,-71.355405
"Tubman, Harriet","Tubman, Harriet",92 Geneva Street,"Salem Chapel, British Methodist Episcopal Church",*    St. Catharines,Ontario,Courageously led many refugees from American slavery to safety; became the public face of the Underground Railroad in British North America,"A conduit de nombreux réfugiés fuyant l'esclavage aux États-Unis; devenue le visage public du "" chemin de fer "" clandestin en Amérique du Nord britannique",43.165183,-79.240217
